"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"AL160272.2","micro1","turquoise",0.109873361914913,0.12285829881198,0.0462922534185538,0.0550159010580398,0.0708658141546589,0.091875053040231,0.0346953178758763
"MEGF9","micro1","turquoise",0.252674425450457,0.297300446622869,0.124091237521637,0.122826394477664,0.189810938559494,0.21404470391083,0.0871039154227603
"FBXW2","micro1","turquoise",0.193407582286598,0.183416656977223,0.137514319794312,0.121525155022217,0.151508578726178,0.146785997934404,0.0941087847996327
"PSMD5","micro1","turquoise",0.153583161841775,0.186798875274298,0.0684673298481155,0.0771689839890613,0.117119633153972,0.13679282375316,0.0167639837548991
"CNTRL","micro1","turquoise",0.319363521336079,0.374225837713366,0.160757756542567,0.137812850729959,0.289424374986519,0.23795788033412,0.050498088506244
"RAB14","micro2","brown",0.289266165166453,0.19641994043051,0.298957441393431,0.226482105453451,0.27555508944102,0.140352821479709,0.201645934444998
"GSN","micro1","turquoise",0.380429733612567,0.432862872545431,0.183284562677044,0.202049507222059,0.309649293233117,0.353056459164631,0.0966214230207926
"STOM","micro3","blue",0.156567003468595,0.136375477140346,0.126378344246955,0.198320229166709,0.124400460963195,0.159581152226249,0.118254112856975
"TTLL11","micro2","brown",0.179406328930967,0.0807704623799944,0.210240495093589,0.130096302098882,0.169351298180945,0.0478252826091543,0.0810489736506114
"RC3H2","micro1","turquoise",0.193830087747016,0.203137141658103,0.129335237337809,0.108471303571253,0.150515488335943,0.146620406305059,0.0896300444861824
"STRBP","micro1","turquoise",0.168220027213468,0.22828591113814,0.101371509150457,0.035331532506389,0.180216061914364,0.125433919741327,-0.0124847213373507
"DENND1A","micro1","turquoise",0.428969119122383,0.498716570146891,0.244155542902732,0.23466873061367,0.342769248514889,0.387872754744849,0.110281118283503
"NEK6","micro3","blue",0.185959254233895,0.0696105888082437,0.187408669536349,0.244536001008564,0.126517265407054,0.117214481509252,0.0733625392219117
"PSMB7","micro3","blue",0.160832144157222,0.126249955417353,0.121643582214064,0.128778385962274,0.129846601649913,0.11464294692361,0.0813430132333536
"NR6A1","micro1","turquoise",0.131413018764451,0.122587554474611,0.0935338539888938,0.0690278693641902,0.134611910860344,0.0809178157391423,0.0435486241286097
"GOLGA1","micro1","turquoise",0.224879512433046,0.249397389796831,0.134712898515739,0.112980000147787,0.194056482879348,0.169699141228358,0.0425068840787624
"PPP6C","micro3","blue",0.127646139694668,0.109940818956315,0.091979800962273,0.118911125959025,0.0930399833766949,0.110629743361242,0.0645183081365966
"HSPA5","micro2","brown",0.231127243876566,-0.00349801063658511,0.539814787676452,0.236599618259381,0.341556985290593,-0.0788338289265507,0.282234749492619
"MAPKAP1","micro1","turquoise",0.362819773568854,0.372629990664948,0.247444678901956,0.174327842158256,0.330056664494965,0.25364794145634,0.0776468439313612
"PBX3","micro1","turquoise",0.29308435818301,0.286716336187993,0.208758176269737,0.142942915972109,0.283701203545483,0.177084683643041,0.0503380247929276
"MVB12B","micro1","turquoise",0.369830831592472,0.43725532942072,0.191182466385145,0.129971674560946,0.347378183452932,0.283756822775119,0.0126082360876875
"ZBTB34","micro1","turquoise",0.163409669825009,0.154718832442169,0.117339357288749,0.078075576035295,0.12247190522464,0.0977488181074256,0.082518619455825
"RALGPS1","micro1","turquoise",0.123105324523154,0.0958120916024572,0.0938668566357497,0.0645142020701276,0.118858228937719,0.050458969364665,0.0078570428440392
"GARNL3","micro1","turquoise",0.197312513143938,0.222387746542722,0.101149601038148,0.0801684380482047,0.219320321970037,0.115801702755044,-0.0194312359053526
"RPL12","micro3","blue",0.0803571140185542,0.0377365616392029,0.0682025596632126,0.0931745689512534,0.0679179974877589,0.069721248732724,0.073341170046414
"LRSAM1","micro1","turquoise",0.197089466802743,0.231996632023502,0.0959458300326239,0.0699731127919718,0.162491687240259,0.151209900911346,0.00223820996808284
