"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"LSMEM1","micro8","turquoise",0.123260533954695,0.0372490141483982,0.146231899028795,0.126008278892259,0.0950975440201979,0.133485416356166,0.0707083130140989,0.0464251967365978,0.197984310246057,0.00458874923430874,0.0601369751585213,0.0621665037259876,0.0953091425459607,0.0580718056970253,0.0283478041163461,0.0050086674720789
"BMT2","micro8","turquoise",0.250337491446137,0.0193500052426154,0.273749334655186,0.19307205233801,0.199544175490716,0.208484220722866,0.0282207333056752,0.212146426886434,0.318580762511741,0.148949560692122,0.196653359196621,0.171816864602633,0.204334653697235,0.158060646233527,0.129342238398088,0.114242256035199
"FOXP2","micro9","yellow",0.172186005405864,-0.0530840010078636,0.152314476088595,0.00662144334829302,0.106310795245039,0.0692276459820122,-0.0898732927204541,0.220399402229388,0.136752880422008,0.260545955990277,0.0950329781611628,0.0315554533115301,0.191586140928294,0.0469278527460518,0.114782481327038,0.0334906246928256
"TFEC","micro6","green",0.299498832909261,0.100632710889029,0.253343886957333,0.205592232768558,0.171193277389698,0.267415551541394,0.133456396294136,0.251518254075189,0.287134855444497,0.169586318654913,0.201444509087319,0.210639833487953,0.222186613092092,0.156349833972646,0.184401892510194,0.152586902347273
"TES","micro8","turquoise",0.109180501749543,-0.0113550894589802,0.13381529347806,0.117498489143328,0.103735881149054,0.149094075547242,0.0680420621780734,0.0622241664430499,0.214989183131021,-0.00513602160328275,0.0717496509055539,0.103176541014517,0.0793965964920784,0.0715807308033581,0.00549051710877735,0.0314777621601374
"ST7","micro8","turquoise",0.270004337974301,0.0843336240072783,0.28055387631033,0.170566540618222,0.150735084339696,0.304930129276474,0.0880330240573126,0.184346789886882,0.355001320281373,0.0600367363369106,0.109148484601676,0.194747828929495,0.229012143605401,0.0613395284011021,0.0851321342340951,0.023205511308073
"LSM8","micro1","brown",0.0504728940856444,0.0431398744491905,0.0292470203947162,0.0349284359776751,0.0463492985022314,0.0295625680033677,0.0450703659437146,0.0494439374663939,0.044003722806995,0.0288172748188156,0.0135412864821147,0.0122633606241786,0.0021735133597142,0.0436247415944208,0.0645114270857871,0.0587468635531436
"KCND2","micro13","salmon",-0.00115110602280113,-0.0462812165785729,-0.0331101863540364,0.0274787312958761,0.00270655699383309,-0.0119498048776782,-0.0483088169752674,-0.00412548839664775,-0.0140214220346758,0.0200278113300407,0.0157177353145421,-0.010222551129467,-0.00485393203169805,0.0891807798088407,-0.00656328716607289,0.0143086174775809
"CPED1","micro7","magenta",0.449524985081013,-0.00800025798690188,0.373851698592663,0.119599682294485,0.221279210074008,0.32356912060387,-0.0238811032061986,0.582456335931036,0.391906567630815,0.507000613714154,0.176210652275303,0.193876407323804,0.453480736931381,0.0877369383074945,0.32321307039871,0.147289736076098
"FAM3C","micro14","pink",0.0882674881008399,0.0643774886052069,0.0456626450897455,0.087995928343897,0.0382572499117024,0.0629833880573462,0.0822615400207511,0.0547523212872491,0.0506965723135987,0.0483627137252138,0.118560834850851,0.104442384249503,0.0663195370978847,0.139749000218612,0.0775021431045377,0.0843854208589427
"AASS","micro2","red",0.122318276003373,0.0320096250131311,0.130662312019634,0.0776382256269979,0.080116021619748,0.0855508121927985,0.0051924199729284,0.105796983442305,0.1261076715801,0.0699222581800243,0.0510884559431412,0.0807570428268462,0.102087417550175,0.0545389091286103,0.122943616090117,0.0242383080361393
"POT1","micro1","brown",0.158810786164295,0.0476706066436657,0.151362461438839,0.102330593685561,0.108749699714672,0.0814065454680524,0.0292530824710013,0.132777571787387,0.121349852753902,0.120760728950786,0.120283390459892,0.0724505857954546,0.13753598971941,0.0947399134308044,0.12000013572765,0.0892110124108734
"ZNF800","micro8","turquoise",0.237371931683632,0.0634968509679739,0.228582242711689,0.187019965575555,0.15871287366887,0.256329010762907,0.0934552161855545,0.189256343522535,0.283431506983453,0.100127078058922,0.153297691935851,0.13343878484937,0.189429225467084,0.148663223273635,0.0852601108143978,0.0928867364318396
"SND1","micro8","turquoise",0.346730710322494,0.151864195841214,0.284394094036178,0.312714675004928,0.310283002360214,0.336782234617394,0.187071187342527,0.229433329517095,0.38293400724882,0.151843575282814,0.284556018667939,0.230113647470026,0.255707075428019,0.270476625329447,0.138519105742697,0.164291075677283
"IRF5","micro5","blue",0.0670289499028809,0.0683531113559479,0.0301380967093142,0.0866414680589156,0.0373347547053902,0.0889811405295447,0.0883572627765512,0.0479809197503078,0.0380393700705775,0.0535644622708384,0.0637710117608634,0.0291710631525577,0.0615558320501493,0.03640682315368,0.0538213387048335,0.0630266031489071
